NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
77054001;LA BROSSE-MX;48.351667;3.023333;77;202401;46.5;1;31;;15.0;1;17;7;4;1;0;0;0;;;0;;;;7.3;1;31;;15.4;1;29;-1.6;1;9;3;0;0;0;31;31;0;1.8;1;31;;-6.3;1;16;11.5;1;24;2;0;29;31;31;0;0;15;5.6;1;16.8;1;17;31;4.5;1;31;4.3;1;31;0;-2.7;1;14;13.2;1;24;43;1;26;31;100;1;27;31;86;1;31;7.6;9;31;;;25.2;1;210;1;2;16;7;0;31;23.2;1;;0;2;12;3;0;28;13.8;1;220;1;2;7;5;0;29;3.9;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202402;82.4;1;29;;15.2;1;21;12;9;1;0;0;0;;;0;;;;11.4;1;29;;17.0;1;15;6.7;1;27;0;0;0;0;29;29;0;6.6;1;29;;1.1;1;28;11.8;1;16;0;0;26;29;29;0;0;0;4.8;1;9.2;1;13;29;9.0;1;29;8.9;1;29;0;5.4;1;28;13.0;1;16;51;1;17;29;100;1;13;29;86;1;29;9.8;9;29;;;26.3;1;280;1;22;20;3;0;29;24.6;1;;0;22;16;1;0;29;16.2;1;260;1;22;12;3;1;29;4.6;1;29;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202403;73.0;1;31;;15.2;1;29;17;4;2;0;0;0;;;0;;;;14.2;1;31;;20.4;1;21;9.0;1;3;0;0;0;0;29;31;0;5.7;1;31;;-0.4;1;7;12.1;1;15;0;0;28;31;31;0;0;1;8.5;1;16.0;1;14;31;9.9;1;31;9.6;1;31;0;5.9;1;4;14.7;1;21;46;1;25;31;100;1;25;31;82;1;31;9.7;9;31;;;21.2;1;230;1;28;20;4;0;31;19.4;1;;0;28;15;3;0;31;12.2;1;220;1;28;11;4;0;31;3.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202404;51.8;1;30;;13.0;1;8;12;3;1;0;0;0;;;0;;;;16.4;1;30;;25.6;1;6;10.9;1;20;0;2;0;0;24;30;0;6.7;1;30;;1.0;1;25;12.5;1;7;0;0;24;30;30;0;0;0;9.7;1;16.4;1;13;30;11.5;1;30;11.3;1;30;0;6.4;1;21;18.2;1;6;36;1;23;30;99;1;29;30;77;1;30;10.4;9;30;;;20.9;1;260;1;15;20;6;0;30;19.6;1;;0;15;18;3;0;30;12.2;1;250;1;15;11;5;0;30;3.4;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202405;105.6;1;31;;16.1;1;15;17;9;2;0;0;0;;;0;;;;20.0;1;31;;26.7;1;12;11.8;1;2;0;2;0;0;14;31;0;10.3;1;31;;7.1;1;9;14.4;1;13;0;0;14;31;31;0;0;0;9.7;1;16.7;1;11;31;15.1;1;31;14.6;1;30;0;10.8;1;4;18.7;1;13;40;1;10;29;100;1;29;29;82;9;30;13.4;9;30;;;18.9;1;300;1;30;17;1;0;31;12.4;1;;0;1;5;0;0;25;12.0;1;300;1;30;1;1;0;26;2.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202406;68.4;1;30;;12.4;1;29;14;7;2;0;0;0;;;0;;;;23.6;1;30;;33.4;1;27;14.8;1;1;0;10;2;0;4;24;1;12.5;1;30;;5.8;1;13;18.0;1;27;0;0;7;22;30;0;0;0;11.1;1;16.6;1;13;30;18.0;1;30;17.7;1;30;2;12.9;1;12;25.7;1;27;33;1;27;30;99;1;21;30;75;1;30;15.0;9;30;;;14.8;1;290;1;11;10;0;0;30;13.9;1;;0;11;7;0;0;30;8.9;1;300;1;11;1;0;0;30;2.4;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202407;116.2;1;31;;43.1;1;11;10;6;3;1;0;0;;;0;;;;26.7;1;31;;35.5;1;30;20.8;1;12;0;19;7;1;0;19;4;14.8;1;31;;8.9;1;8;22.0;1;31;0;0;2;18;30;1;0;0;11.9;1;18.5;1;19;31;20.7;1;31;20.5;1;31;4;16.5;1;7;27.8;1;31;28;1;19;31;99;1;28;31;71;1;31;16.7;9;31;;;18.0;1;280;9;11;12;2;0;31;16.4;1;;0;20;9;1;0;31;10.0;1;180;9;20;3;1;0;31;2.3;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202408;86.4;1;31;;20.3;1;1;6;6;4;0;0;0;;;0;;;;27.1;1;31;;37.2;1;12;21.1;1;17;0;23;5;1;0;16;2;15.3;1;31;;8.9;1;26;20.2;1;1;0;0;1;13;30;1;0;0;11.8;1;20.6;1;28;31;21.2;1;31;21.0;1;31;3;16.4;1;21;27.8;1;12;26;1;12;31;100;1;22;31;73;1;31;17.7;9;31;;;24.4;1;300;1;24;8;1;0;31;22.4;1;;0;24;4;1;0;31;14.9;1;300;1;24;2;1;0;31;2.6;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202409;122.5;1;30;;39.0;1;25;12;6;4;1;0;0;;;0;;;;20.6;1;30;;29.2;1;1;14.4;1;29;0;4;0;0;16;28;0;12.5;1;30;;4.9;1;15;18.9;1;1;0;0;6;23;30;0;0;0;8.1;1;14.3;1;15;30;16.5;1;30;16.0;1;30;0;9.7;1;29;24.1;1;1;41;1;19;30;100;1;15;30;80;1;30;14.7;9;30;;;18.2;1;210;1;26;13;1;0;30;17.0;1;;0;26;12;1;0;28;10.6;1;210;1;26;7;1;0;30;3.4;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202410;69.8;1;31;;31.6;1;9;9;4;2;1;0;0;;;0;;;;17.6;1;31;;24.5;1;16;10.7;1;31;0;0;0;0;26;31;0;10.8;1;31;;4.8;1;5;15.5;1;17;0;0;8;30;31;0;0;0;6.7;1;13.7;1;24;31;14.2;1;31;13.8;1;31;0;9.8;1;31;19.0;1;16;51;1;5;31;100;1;31;31;89;1;31;14.0;9;31;;;15.2;1;320;9;9;11;0;0;31;13.8;1;;0;21;8;0;0;31;9.3;1;290;9;21;3;0;0;31;2.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202411;55.4;1;30;;24.0;1;19;5;4;2;0;0;0;;;0;;;;10.5;1;30;;18.3;1;24;2.1;1;21;0;0;0;0;30;30;0;5.7;1;30;;-2.1;1;22;9.7;1;24;0;0;30;30;30;0;0;3;4.8;1;12.8;1;23;30;8.1;1;30;7.9;1;30;0;0.5;1;30;14.0;1;24;52;1;25;30;100;1;30;30;89;1;30;9.6;9;30;;;19.9;1;160;1;24;10;5;0;30;18.5;1;;0;24;9;2;0;30;12.1;1;180;1;24;8;2;0;29;3.4;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202412;44.1;1;31;;11.7;1;21;8;3;2;0;0;0;;;0;;;;7.8;1;31;;14.6;1;18;1.5;1;28;0;0;0;0;31;31;0;3.4;1;31;;-1.4;1;28;9.0;1;2;0;0;31;31;31;0;0;3;4.4;1;10.6;1;1;31;5.6;1;31;5.6;1;31;0;0.1;1;28;11.0;1;2;63;1;6;31;100;1;28;31;90;1;31;8.3;9;31;;;25.4;1;320;1;6;14;7;0;31;22.9;1;;0;6;11;4;0;30;13.3;1;300;1;6;7;4;0;30;3.8;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77054001;LA BROSSE-MX;48.351667;3.023333;77;202501;47.2;1;15;;14.8;1;8;7;4;2;0;0;0;;;0;;;;7.3;1;15;;13.6;1;6;1.5;1;11;0;0;0;0;15;15;0;0.6;1;15;;-5.3;1;14;6.9;1;6;1;0;15;15;15;0;0;7;6.7;1;15.8;1;4;15;3.9;1;15;3.6;1;15;0;-1.3;1;14;10.3;1;6;54;1;13;15;100;1;15;15;88;1;15;7.1;9;15;;;25.0;1;220;1;6;7;5;0;15;23.0;1;;0;6;7;4;0;15;15.7;1;240;1;6;7;4;1;15;3.7;1;15;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
77084001;CHANGIS;48.964667;3.011833;70;202401;65.0;1;26;70.0;22.8;1;17;8;4;2;0;0;0;;;0;;;;7.6;1;26;7.5;15.0;1;24;-1.5;1;9;2;0;0;0;26;26;0;1.2;1;26;1.5;-6.8;1;16;11.1;1;24;3;0;25;26;26;0;0;14;6.4;1;14.7;1;21;26;4.4;1;26;4.3;1;25;0;-3.0;1;19;13.1;1;24;44;1;26;26;100;1;31;26;88;1;25;7.8;9;25;;;26.9;1;230;1;22;10;6;0;25;22.5;1;;0;22;5;4;0;21;13.0;1;220;1;22;4;1;0;22;2.9;1;25;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
